DATE,MSPUS
1963-01-01,17900.000000000000
1963-07-01,18200.000000000000
1964-01-01,18700.000000000000
1964-07-01,19150.000000000000
1965-01-01,20000.000000000000
1965-07-01,20250.000000000000
1966-01-01,21550.000000000000
1966-07-01,21450.000000000000
1967-01-01,22800.000000000000
1967-07-01,22700.000000000000
1968-01-01,24400.000000000000
1968-07-01,25200.000000000000
1969-01-01,25800.000000000000
1969-07-01,25400.000000000000
1970-01-01,24150.000000000000
1970-07-01,22800.000000000000
1971-01-01,25050.000000000000
1971-07-01,25400.000000000000
1972-01-01,26500.000000000000
1972-07-01,28550.000000000000
1973-01-01,31450.000000000000
1973-07-01,33750.000000000000
1974-01-01,35400.000000000000
1974-07-01,36700.000000000000
1975-01-01,38550.000000000000
1975-07-01,40000.000000000000
1976-01-01,43500.000000000000
1976-07-01,44950.000000000000
1977-01-01,47600.000000000000
1977-07-01,50200.000000000000
1978-01-01,54150.000000000000
1978-07-01,57550.000000000000
1979-01-01,61850.000000000000
1979-07-01,63650.000000000000
1980-01-01,63850.000000000000
1980-07-01,65650.000000000000
1981-01-01,68100.000000000000
1981-07-01,69800.000000000000
1982-01-01,68000.000000000000
1982-07-01,70450.000000000000
1983-01-01,74100.000000000000
1983-07-01,76650.000000000000
1984-01-01,79450.000000000000
1984-07-01,80450.000000000000
1985-01-01,83550.000000000000
1985-07-01,85000.000000000000
1986-01-01,90050.000000000000
1986-07-01,94000.000000000000
1987-01-01,100650.000000000000
1987-07-01,108750.000000000000
1988-01-01,110000.000000000000
1988-07-01,114450.000000000000
1989-01-01,118450.000000000000
1989-07-01,122400.000000000000
1990-01-01,125350.000000000000
1990-07-01,119250.000000000000
1991-01-01,119950.000000000000
1991-07-01,120000.000000000000
1992-01-01,119750.000000000000
1992-07-01,123000.000000000000
1993-01-01,126000.000000000000
1993-07-01,127000.000000000000
1994-01-01,130000.000000000000
1994-07-01,130850.000000000000
1995-01-01,131950.000000000000
1995-07-01,135000.000000000000
1996-01-01,138450.000000000000
1996-07-01,142050.000000000000
1997-01-01,145400.000000000000
1997-07-01,144600.000000000000
1998-01-01,150850.000000000000
1998-07-01,153000.000000000000
1999-01-01,158050.000000000000
1999-07-01,162200.000000000000
2000-01-01,164250.000000000000
2000-07-01,170850.000000000000
2001-01-01,174400.000000000000
2001-07-01,171800.000000000000
2002-01-01,187950.000000000000
2002-07-01,184100.000000000000
2003-01-01,188900.000000000000
2003-07-01,195350.000000000000
2004-01-01,215150.000000000000
2004-07-01,221150.000000000000
2005-01-01,233100.000000000000
2005-07-01,240000.000000000000
2006-01-01,247000.000000000000
2006-07-01,240500.000000000000
2007-01-01,249800.000000000000
2007-07-01,240100.000000000000
2008-01-01,234600.000000000000
2008-07-01,224500.000000000000
2009-01-01,214650.000000000000
2009-07-01,216650.000000000000
2010-01-01,221200.000000000000
2010-07-01,224200.000000000000
2011-01-01,227500.000000000000
2011-07-01,222300.000000000000
2012-01-01,238550.000000000000
2012-07-01,250250.000000000000
2013-01-01,263250.000000000000
2013-07-01,269200.000000000000
2014-01-01,281600.000000000000
2014-07-01,289950.000000000000
2015-01-01,289150.000000000000
2015-07-01,299150.000000000000
2016-01-01,302900.000000000000
2016-07-01,307350.000000000000
2017-01-01,315650.000000000000
2017-07-01,329200.000000000000
2018-01-01,323700.000000000000
2018-07-01,326850.000000000000
2019-01-01,317750.000000000000
2019-07-01,322750.000000000000
2020-01-01,325800.000000000000
2020-07-01,348100.000000000000
2021-01-01,376200.000000000000
2021-07-01,417400.000000000000
2022-01-01,441200.000000000000
2022-07-01,467850.000000000000
